id;start_date;end_date;language
1;2019-08-28T08:52:13;2019-08-28T02:00:30;SPANISH
2;2019-08-28T10:22:18;2019-08-27T19:28:28;SPANISH
3;2019-08-28T05:54:23;2019-08-27T21:18:23;FRENCH
4;2019-08-27T19:06:14;2019-08-28T02:33:15;SPANISH
5;2019-08-28T04:04:53;2019-08-28T08:49:02;FRENCH
6;2019-08-28T10:21:53;2019-08-28T11:38:50;FRENCH
7;2019-08-27T19:44:13;2019-08-28T08:25:00;SPANISH
8;2019-08-27T17:15:32;2019-08-28T01:15:41;FRENCH
9;2019-08-28T03:03:38;2019-08-28T11:28:16;FRENCH
10;2019-08-28T06:21:48;2019-08-28T03:38:02;FRENCH
